Episodes,Status,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,Genre,Studio
103,Finished Airing,PG-13 - Teens 13 or older,8.03,523,255,643313,13182,D.Gray-man,Action,TMSEntertainment
103,Finished Airing,PG-13 - Teens 13 or older,8.03,523,255,643313,13182,D.Gray-man,Adventure,TMSEntertainment
103,Finished Airing,PG-13 - Teens 13 or older,8.03,523,255,643313,13182,D.Gray-man,Comedy,TMSEntertainment
12,Finished Airing,PG-13 - Teens 13 or older,7.58,1413,256,642721,2486,Tsurezure Children,Comedy,StudioGokumi
12,Finished Airing,PG-13 - Teens 13 or older,7.58,1413,256,642721,2486,Tsurezure Children,Romance,StudioGokumi
13,Finished Airing,R - 17+ (violence & profanity),8.07,481,257,641753,22149,Serial Experiments Lain,AvantGarde,TriangleStaff
13,Finished Airing,R - 17+ (violence & profanity),8.07,481,257,641753,22149,Serial Experiments Lain,Drama,TriangleStaff
13,Finished Airing,R - 17+ (violence & profanity),8.07,481,257,641753,22149,Serial Experiments Lain,Mystery,TriangleStaff
13,Finished Airing,R - 17+ (violence & profanity),8.07,481,257,641753,22149,Serial Experiments Lain,Sci-Fi,TriangleStaff
13,Finished Airing,R - 17+ (violence & profanity),8.07,481,257,641753,22149,Serial Experiments Lain,Supernatural,TriangleStaff
12,Finished Airing,PG-13 - Teens 13 or older,7.0,3961,258,641542,4361,Ore no Imouto ga Konnani Kawaii Wake ga Nai,Comedy,AICBuild
12,Finished Airing,PG-13 - Teens 13 or older,7.98,593,259,639008,1379,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,Gourmet,J.C.Staff
12,Finished Airing,PG-13 - Teens 13 or older,7.98,593,259,639008,1379,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,Ecchi,J.C.Staff
12,Finished Airing,R - 17+ (violence & profanity),7.58,1410,260,637909,3298,Sword Art Online: Alicization - War of Underworld,Action,A-1Pictures
12,Finished Airing,R - 17+ (violence & profanity),7.58,1410,260,637909,3298,Sword Art Online: Alicization - War of Underworld,Adventure,A-1Pictures
12,Finished Airing,R - 17+ (violence & profanity),7.58,1410,260,637909,3298,Sword Art Online: Alicization - War of Underworld,Fantasy,A-1Pictures
12,Finished Airing,R+ - Mild Nudity,6.7,5301,261,635522,5172,Domestic na Kanojo,Drama,Diomedéa
12,Finished Airing,R+ - Mild Nudity,6.7,5301,261,635522,5172,Domestic na Kanojo,Romance,Diomedéa
