Episodes,Status,Ratings,Scores,Rank,Popularity,Members,Favorites,titles,SP,Genre,Studio
24,Finished Airing,R - 17+ (violence & profanity),8.44,141,134,963520,18669,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,"['crunchyroll', 'netflix']","['action', 'adventure', 'drama', 'supernatural']",['davidproduction']
201,Finished Airing,PG-13 - Teens 13 or older,8.95,14,135,963158,55541,Gintama,"['crunchyroll', 'netflix']","['action', 'comedy', 'sci-fi']",['sunrise']
13,Finished Airing,R - 17+ (violence & profanity),8.36,190,136,960572,10934,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,['crunchyroll'],"['drama', 'fantasy', 'suspense']",['whitefox']
25,Finished Airing,PG-13 - Teens 13 or older,8.02,539,137,956806,8676,Magi: The Labyrinth of Magic,"['crunchyroll', 'funimation']","['action', 'adventure', 'fantasy']",['a-1pictures']
13,Finished Airing,PG-13 - Teens 13 or older,8.22,312,138,954578,15458,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"['hidive', 'shahid']","['comedy', 'romance']",['feel.']
120,Finished Airing,PG-13 - Teens 13 or older,8.42,152,139,951573,25627,Saiki Kusuo no Ψ-nan,"['funimation', 'netflix']","['comedy', 'supernatural']","['j.c.staff', 'eggfirm']"
25,Finished Airing,PG-13 - Teens 13 or older,7.42,1965,140,951063,9841,Boku no Hero Academia 5th Season,"['crunchyroll', 'funimation']",['genre:action'],['bones']
1,Finished Airing,G - All Ages,8.26,273,141,946811,7358,Tonari no Totoro,['netflix'],"['adventure', 'supernatural']",['studioghibli']
12,Finished Airing,R - 17+ (violence & profanity),7.17,3133,142,937286,9145,Date A Live,"['crunchyroll', 'funimation']","['comedy', 'romance', 'sci-fi']",['aicplus+']
12,Finished Airing,R - 17+ (violence & profanity),8.81,29,143,935044,27017,Shingeki no Kyojin: The Final Season Part 2,"['crunchyroll', 'funimation']","['action', 'drama']",['mappa']
153,Finished Airing,PG-13 - Teens 13 or older,7.96,618,144,930950,13801,Dragon Ball,"['crunchyroll', 'funimation']","['adventure', 'comedy', 'fantasy']",['toeianimation']
13,Finished Airing,PG-13 - Teens 13 or older,7.98,588,145,930700,9255,ReLIFE,['crunchyroll'],"['drama', 'romance', 'sliceoflife']",['tmsentertainment']
24,Finished Airing,PG-13 - Teens 13 or older,7.75,984,146,927419,12015,Golden Time,['hidive'],"['comedy', 'drama', 'romance']",['j.c.staff']
24,Finished Airing,R - 17+ (violence & profanity),7.56,1493,147,922660,6754,Sword Art Online: Alicization,['crunchyroll'],"['action', 'adventure', 'fantasy']",['a-1pictures']
12,Finished Airing,R+ - Mild Nudity,7.62,1298,148,909850,6717,Prison School,"['crunchyroll', 'funimation']","['comedy', 'romance', 'ecchi']",['j.c.staff']
102,Finished Airing,PG-13 - Teens 13 or older,7.66,1202,149,902255,11509,Fairy Tail (2014),['crunchyroll'],"['action', 'adventure', 'fantasy']","['a-1pictures', 'bridge']"
12,Finished Airing,R - 17+ (violence & profanity),8.03,521,150,897615,16353,Black Lagoon,"['crunchyroll', 'funimation']",['genre:action'],['madhouse']
74,Finished Airing,R+ - Mild Nudity,8.84,24,151,888883,40629,Monster,[],"['drama', 'mystery', 'suspense']",['madhouse']
13,Finished Airing,R - 17+ (violence & profanity),7.76,956,152,887472,4065,Overlord II,"['crunchyroll', 'animax mongolia']","['action', 'adventure', 'fantasy', 'supernatural']",['madhouse']
12,Finished Airing,PG-13 - Teens 13 or older,8.03,515,153,885495,2587,Shokugeki no Souma: San no Sara,"['crunchyroll', 'netflix']","['gourmet', 'ecchi']",['j.c.staff']
24,Finished Airing,R - 17+ (violence & profanity),7.29,2552,154,878906,7014,Fate/stay night,"['hidive', 'netflix']","['action', 'fantasy', 'romance', 'supernatural']",['studiodeen']
25,Finished Airing,R - 17+ (violence & profanity),8.07,477,155,876953,16033,Darker than Black: Kuro no Keiyakusha,[],"['action', 'mystery', 'sci-fi']",['bones']
39,Finished Airing,R - 17+ (violence & profanity),8.58,79,156,871925,28295,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"['crunchyroll', 'netflix']","['action', 'adventure']",['davidproduction']
13,Finished Airing,R - 17+ (violence & profanity),7.23,2839,157,865949,7953,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,"['crunchyroll', 'funimation']","['horror', 'mystery']",['lerche']
3,Finished Airing,PG-13 - Teens 13 or older,7.59,1371,158,862410,10377,Byousoku 5 Centimeter,"['crunchyroll', 'netflix']","['drama', 'romance', 'sliceoflife']",['comixwavefilms']
14,Finished Airing,PG-13 - Teens 13 or older,7.84,813,159,857920,14646,Suzumiya Haruhi no Yuuutsu,"['funimation', 'netflix']","['comedy', 'mystery', 'sci-fi', 'sliceoflife']",['kyotoanimation']
13,Finished Airing,R - 17+ (violence & profanity),7.11,3432,160,856668,3642,Black Bullet,"['crunchyroll', 'netflix']","['action', 'mystery', 'sci-fi']","['kinemacitrus', 'orange']"
12,Finished Airing,PG-13 - Teens 13 or older,7.85,787,161,855092,10453,Gekkan Shoujo Nozaki-kun,"['crunchyroll', 'hidive']","['comedy', 'romance']",['dogakobo']
11,Finished Airing,PG-13 - Teens 13 or older,8.18,356,162,854554,6753,Dr. Stone: Stone Wars,"['crunchyroll', 'funimation']","['adventure', 'comedy', 'sci-fi']",['tmsentertainment']
13,Finished Airing,PG-13 - Teens 13 or older,7.92,666,163,852352,10977,Plastic Memories,"['crunchyroll', 'funimation']","['drama', 'romance', 'sci-fi']",['dogakobo']
12,Finished Airing,R - 17+ (violence & profanity),7.46,1800,164,848943,8191,Rakudai Kishi no Cavalry,"['crunchyroll', 'hidive']","['action', 'fantasy', 'romance', 'ecchi']","['silverlink.', 'nexus']"
11,Finished Airing,PG-13 - Teens 13 or older,7.95,634,165,846447,10246,Wotaku ni Koi wa Muzukashii,[],['genre:romance'],['a-1pictures']
13,Finished Airing,R - 17+ (violence & profanity),8.38,175,166,843787,22497,Baccano!,[],"['action', 'comedy', 'mystery', 'supernatural']","[""brain'sbase""]"
12,Finished Airing,R+ - Mild Nudity,7.49,1727,167,841283,4405,High School DxD New,['netflix'],"['action', 'comedy', 'romance', 'ecchi']",['tnk']
10,Finished Airing,R - 17+ (violence & profanity),8.36,186,168,837442,19790,Hellsing Ultimate,"['crunchyroll', 'funimation']","['action', 'horror', 'supernatural']","['madhouse', 'satelight', 'graphinica']"
12,Finished Airing,PG-13 - Teens 13 or older,7.17,3150,169,835665,7879,"Kanojo, Okarishimasu",['crunchyroll'],"['comedy', 'romance']",['tmsentertainment']
1,Finished Airing,PG-13 - Teens 13 or older,8.31,227,170,832942,10870,Tenki no Ko,['netflix'],"['drama', 'fantasy', 'romance', 'sliceoflife']",['comixwavefilms']
12,Finished Airing,PG-13 - Teens 13 or older,7.65,1211,171,827760,9423,Ao Haru Ride,['crunchyroll'],"['drama', 'romance', 'sliceoflife']",['productioni.g']
25,Finished Airing,PG-13 - Teens 13 or older,8.0,570,172,825278,11790,Kimi ni Todoke,"['crunchyroll', 'funimation']","['drama', 'romance', 'sliceoflife']",['productioni.g']
