,anime_stat
194,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season/stats
195,https://myanimelist.net/anime/25157/Trinity_Seven/stats
196,https://myanimelist.net/anime/25013/Akatsuki_no_Yona/stats
197,https://myanimelist.net/anime/33487/Masamune-kun_no_Revenge/stats
198,https://myanimelist.net/anime/1195/Zero_no_Tsukaima/stats
199,https://myanimelist.net/anime/37799/Tokyo_Ghoul_re_2nd_Season/stats
200,https://myanimelist.net/anime/10719/Boku_wa_Tomodachi_ga_Sukunai/stats
201,https://myanimelist.net/anime/457/Mushishi/stats
202,https://myanimelist.net/anime/4654/Toaru_Majutsu_no_Index/stats
203,https://myanimelist.net/anime/2966/Ookami_to_Koushinryou/stats
204,https://myanimelist.net/anime/39195/Beastars/stats
205,https://myanimelist.net/anime/48736/Sono_Bisque_Doll_wa_Koi_wo_Suru/stats
206,https://myanimelist.net/anime/11843/Danshi_Koukousei_no_Nichijou/stats
207,https://myanimelist.net/anime/934/Higurashi_no_Naku_Koro_ni/stats
208,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki/stats
209,https://myanimelist.net/anime/10408/Hotarubi_no_Mori_e/stats
210,https://myanimelist.net/anime/47/Akira/stats
211,https://myanimelist.net/anime/227/FLCL/stats
212,https://myanimelist.net/anime/18507/Free/stats
213,https://myanimelist.net/anime/32729/Orange/stats
214,https://myanimelist.net/anime/245/Great_Teacher_Onizuka/stats
215,https://myanimelist.net/anime/28623/Koutetsujou_no_Kabaneri/stats
216,https://myanimelist.net/anime/36649/Banana_Fish/stats
217,https://myanimelist.net/anime/2236/Toki_wo_Kakeru_Shoujo/stats
218,https://myanimelist.net/anime/30694/Dragon_Ball_Super/stats
219,https://myanimelist.net/anime/24703/High_School_DxD_BorN/stats
220,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2/stats
221,https://myanimelist.net/anime/28907/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri/stats
222,https://myanimelist.net/anime/13125/Shinsekai_yori/stats
223,https://myanimelist.net/anime/32867/Bungou_Stray_Dogs_2nd_Season/stats
224,https://myanimelist.net/anime/29786/Shimoneta_to_Iu_Gainen_ga_Sonzai_Shinai_Taikutsu_na_Sekai/stats
225,https://myanimelist.net/anime/249/InuYasha/stats
226,https://myanimelist.net/anime/28677/Yamada-kun_to_7-nin_no_Majo/stats
227,https://myanimelist.net/anime/14467/K/stats
228,https://myanimelist.net/anime/37347/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_II/stats
229,https://myanimelist.net/anime/28927/Owari_no_Seraph__Nagoya_Kessen-hen/stats
230,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e/stats
231,https://myanimelist.net/anime/32542/Sakamoto_Desu_ga/stats
232,https://myanimelist.net/anime/38680/Fruits_Basket_1st_Season/stats
233,https://myanimelist.net/anime/48926/Komi-san_wa_Comyushou_desu/stats
234,https://myanimelist.net/anime/33506/Ao_no_Exorcist__Kyoto_Fujouou-hen/stats
235,https://myanimelist.net/anime/37086/Kakegurui%C3%97%C3%97/stats
236,https://myanimelist.net/anime/11597/Nisemonogatari/stats
237,https://myanimelist.net/anime/30307/Monster_Musume_no_Iru_Nichijou/stats
238,https://myanimelist.net/anime/24415/Kuroko_no_Basket_3rd_Season/stats
239,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2/stats
240,https://myanimelist.net/anime/18671/Chuunibyou_demo_Koi_ga_Shitai_Ren/stats
241,https://myanimelist.net/anime/31798/Kiznaiver/stats
242,https://myanimelist.net/anime/11759/Accel_World/stats
243,https://myanimelist.net/anime/6/Trigun/stats
244,https://myanimelist.net/anime/42361/Ijiranaide_Nagatoro-san/stats
245,https://myanimelist.net/anime/1210/NHK_ni_Youkoso/stats
246,https://myanimelist.net/anime/37105/Grand_Blue/stats
247,https://myanimelist.net/anime/31859/Hai_to_Gensou_no_Grimgar/stats
248,https://myanimelist.net/anime/36896/Boku_no_Hero_Academia_the_Movie_1__Futari_no_Hero/stats
